🎈新年组播🎈,#genre#
青海卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/qinghaistv/1.m3u8
海南卫视,http://120.210.193.151:8006/120000001002/XMThainanwshd/index.m3u8
新疆卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/xinjiangstv/1.m3u8
西藏卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/xizangstv/1.m3u8
内蒙古卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/neimenggustv/1.m3u8
云南卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/yunnanstv/1.m3u8
东南卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-dongnanstv/1.m3u8
河南卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/henanstv/1.m3u8
爱情喜剧,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/aiqingxj/1.m3u8
惊悚悬疑,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/jingsongxy/1.m3u8
金鹰卡通,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/jinyingkaton/1.m3u8
炫动卡通,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/xuandongkaton/1.m3u8
卡酷少儿,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/kakukaton/1.m3u8
优漫卡通,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/youmankaton/1.m3u8

安徽卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-anhuistv/1.m3u8
湖南卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-hunanstv/1.m3u8
东方卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-dongfangstv/1.m3u8
北京卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-beijingstv/1.m3u8
浙江卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-zhejiangstv/1.m3u8
江苏卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-jiangsustv/1.m3u8
天津卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdtianjinstv/1.m3u8
山东卫视高清,http://120.210.193.151:8006/120000001002/XMTshandongwshd/index.m3u8
深圳卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdshenzhenstv/1.m3u8
江西卫视高清,http://120.210.193.151:8006/120000001002/XMTjiangxiwshd/index.m3u8
广东卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdguangdongstv/1.m3u8
重庆卫视高清,http://120.210.193.151:8006/120000001002/XMTchongqingwshd/index.m3u8
甘肃卫视高清,http://120.210.193.151:8006/120000001002/XMTgswshd/index.m3u8
河南卫视高清,http://120.210.193.151:8006/120000001002/XMThenanwshd/index.m3u8
黑龙江卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdheilongjiangstv/1.m3u8
安徽经济高清,http://120.210.193.151:8006/120000001002/XMTah_jjhd/index.m3u8
安徽影视高清,http://120.210.193.151:8006/120000001002/XMTah_yshd/index.m3u8
安徽科教高清,http://120.210.193.151:8006/120000001002/XMTah_kjhd/index.m3u8
安徽综艺高清,http://120.210.193.151:8006/120000001002/XMTah_zyhd/index.m3u8
安徽公共高清,http://120.210.193.151:8006/120000001002/XMTah_gghd/index.m3u8
CCTV-1综合,http://111.29.9.38:6610/200000001898/460000089800010011/1.m3u8?IASHttpSessionId=007
CCTV-2财经,http://111.29.9.38:6610/200000001898/460000089800010211/1.m3u8?IASHttpSessionId=007
CCTV-3综艺,http://111.29.9.38:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=007
CCTV-4中文国际,http://111.29.9.38:6610/200000001898/460000089800010017/1.m3u8?IASHttpSessionId=007
CCTV-5体育,http://111.29.9.38:6610/200000001898/460000089800010078/1.m3u8?IASHttpSessionId=007
CCTV-5+体育赛事,http://111.29.9.38:6610/200000001898/460000089800010202/1.m3u8?IASHttpSessionId=007
CCTV-6电影,http://111.29.9.38:6610/200000001898/460000089800010214/1.m3u8?IASHttpSessionId=007
CCTV-7军事,http://111.29.9.38:6610/200000001898/460000089800010215/1.m3u8?IASHttpSessionId=007
CCTV-8电视剧,http://111.29.9.38:6610/200000001898/460000089800010216/1.m3u8?IASHttpSessionId=007
CCTV-9纪录,http://111.29.9.38:6610/200000001898/460000089800010217/1.m3u8?IASHttpSessionId=007
CCTV-10科教,http://111.29.9.38:6610/200000001898/460000089800010203/1.m3u8?IASHttpSessionId=007
CCTV-11戏曲,http://111.29.9.38:6610/200000001898/460000089800010092/1.m3u8?IASHttpSessionId=007
CCTV-12社会与法,http://111.29.9.38:6610/200000001898/460000089800010205/1.m3u8?IASHttpSessionId=007
CCTV-13新闻,http://111.29.9.38:6610/200000001898/460000089800010093/1.m3u8?IASHttpSessionId=007
CCTV-14少儿,http://111.29.9.38:6610/200000001898/460000089800010207/1.m3u8?IASHttpSessionId=007
CCTV-15音乐,http://111.29.9.38:6610/200000001898/460000089800010094/1.m3u8?IASHttpSessionId=007
CCTV-16奥林匹克,http://111.29.9.38:6610/200000001898/460000089800010142/1.m3u8?IASHttpSessionId=007
CCTV-17农业农村,http://111.29.9.38:6610/200000001898/460000089800010210/1.m3u8?IASHttpSessionId=007
安徽卫视,http://111.29.9.38:6610/200000001898/460000089800010041/1.m3u8?IASHttpSessionId=007
北京卫视,http://111.29.9.38:6610/200000001898/460000089800010143/1.m3u8?IASHttpSessionId=007
重庆卫视,http://111.29.9.38:6610/200000001898/460000089800010053/1.m3u8?IASHttpSessionId=007
东方卫视,http://111.29.9.38:6610/200000001898/460000089800010054/1.m3u8?IASHttpSessionId=007
东南卫视,http://111.29.9.38:6610/200000001898/460000089800010096/1.m3u8?IASHttpSessionId=007
甘肃卫视,http://111.29.9.38:6610/200000001898/460000089800010098/1.m3u8?IASHttpSessionId=007
大湾区卫视,http://111.29.9.38:6610/200000001898/460000089800010108/1.m3u8?IASHttpSessionId=007
广东珠江,http://111.29.9.38:6610/200000001898/460000089800010091/1.m3u8?IASHttpSessionId=007
广东卫视,http://111.29.9.38:6610/200000001898/460000089800010055/1.m3u8?IASHttpSessionId=007
广西卫视,http://111.29.9.38:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=007
贵州卫视,http://111.29.9.38:6610/200000001898/460000089800010100/1.m3u8?IASHttpSessionId=007
海南卫视,http://111.29.9.38:6610/200000001898/460000089800010083/1.m3u8?IASHttpSessionId=007
河北卫视,http://111.29.9.38:6610/200000001898/460000089800010101/1.m3u8?IASHttpSessionId=007
河南卫视,http://111.29.9.38:6610/200000001898/460000089800010071/1.m3u8?IASHttpSessionId=007
黑龙江卫视,http://111.29.9.38:6610/200000001898/460000089800010056/1.m3u8?IASHttpSessionId=007
湖北卫视,http://111.29.9.38:6610/200000001898/460000089800010057/1.m3u8?IASHttpSessionId=007
湖南卫视,http://111.29.9.38:6610/200000001898/460000089800010058/1.m3u8?IASHttpSessionId=007
吉林卫视,http://111.29.9.38:6610/200000001898/460000089800010075/1.m3u8?IASHttpSessionId=007
江苏卫视,http://111.29.9.38:6610/200000001898/460000089800010225/1.m3u8?IASHttpSessionId=007
江西卫视,http://111.29.9.38:6610/200000001898/460000089800010060/1.m3u8?IASHttpSessionId=007
辽宁卫视,http://111.29.9.38:6610/200000001898/460000089800010061/1.m3u8?IASHttpSessionId=007
内蒙古卫视,http://111.29.9.38:6610/200000001898/460000089800010109/1.m3u8?IASHttpSessionId=007
宁夏卫视,http://111.29.9.38:6610/200000001898/460000089800010110/1.m3u8?IASHttpSessionId=007
青海卫视,http://111.29.9.38:6610/200000001898/460000089800010111/1.m3u8?IASHttpSessionId=007
山东卫视,http://111.29.9.38:6610/200000001898/460000089800010066/1.m3u8?IASHttpSessionId=007
山西卫视,http://111.29.9.38:6610/200000001898/460000089800010114/1.m3u8?IASHttpSessionId=007
陕西卫视,http://111.29.9.38:6610/200000001898/460000089800010113/1.m3u8?IASHttpSessionId=007
深圳卫视,http://111.29.9.38:6610/200000001898/460000089800010068/1.m3u8?IASHttpSessionId=007
四川卫视,http://111.29.9.38:6610/200000001898/460000089800010115/1.m3u8?IASHttpSessionId=007
天津卫视,http://111.29.9.38:6610/200000001898/460000089800010069/1.m3u8?IASHttpSessionId=007
新疆卫视,http://111.29.9.38:6610/200000001898/460000089800010116/1.m3u8?IASHttpSessionId=007
云南卫视,http://111.29.9.38:6610/200000001898/460000089800010119/1.m3u8?IASHttpSessionId=007
浙江卫视,http://111.29.9.38:6610/200000001898/460000089800010070/1.m3u8?IASHttpSessionId=007
山东教育卫视,http://111.29.9.38:6610/200000001898/460000089800010112/1.m3u8?IASHttpSessionId=007
西藏藏语,http://111.29.9.38:6610/200000001898/460000089800010123/1.m3u8?IASHttpSessionId=007
黑莓电影,http://111.29.9.38:6610/200000001898/460000089800010073/1.m3u8?IASHttpSessionId=007
动作电影,http://111.29.9.38:6610/200000001898/460000089800010003/1.m3u8?IASHttpSessionId=007
超级电影,http://111.29.9.38:6610/200000001898/460000089800010064/1.m3u8?IASHttpSessionId=007
超级电视剧,http://111.29.9.38:6610/200000001898/460000089800010065/1.m3u8?IASHttpSessionId=007
家庭剧场,http://111.29.9.38:6610/200000001898/460000089800010074/1.m3u8?IASHttpSessionId=007
古装剧场,http://111.29.9.38:6610/200000001898/460000089800010004/1.m3u8?IASHttpSessionId=007
军旅剧场,http://111.29.9.38:6610/200000001898/460000089800010079/1.m3u8?IASHttpSessionId=007
欢乐剧场,http://111.29.9.38:6610/200000001898/460000089800010025/1.m3u8?IASHttpSessionId=007
惊悚悬疑,http://111.29.9.38:6610/200000001898/460000089800010077/1.m3u8?IASHttpSessionId=007
中国功夫,http://111.29.9.38:6610/200000001898/460000089800010087/1.m3u8?IASHttpSessionId=007
东北热剧,http://111.29.9.38:6610/200000001898/460000089800010021/1.m3u8?IASHttpSessionId=007
精品大剧,http://111.29.9.38:6610/200000001898/460000089800010072/1.m3u8?IASHttpSessionId=007
明星大片,http://111.29.9.38:6610/200000001898/460000089800010121/1.m3u8?IASHttpSessionId=007
电影大片,http://111.29.9.38:6610/200000001898/460000089800010084/1.m3u8?IASHttpSessionId=007
爱情喜剧,http://111.29.9.38:6610/200000001898/460000089800010000/1.m3u8?IASHttpSessionId=007
潮妈辣婆,http://111.29.9.38:6610/200000001898/460000089800010005/1.m3u8?IASHttpSessionId=007
黑莓动画,http://111.29.9.38:6610/200000001898/460000089800010002/1.m3u8?IASHttpSessionId=007
嘉佳卡通,http://111.29.9.38:6610/200000001898/460000089800010102/1.m3u8?IASHttpSessionId=007
金鹰卡通,http://111.29.9.38:6610/200000001898/460000089800010107/1.m3u8?IASHttpSessionId=007
哈哈炫动,http://111.29.9.38:6610/200000001898/460000089800010117/1.m3u8?IASHttpSessionId=007
优漫卡通,http://111.29.9.38:6610/200000001898/460000089800010118/1.m3u8?IASHttpSessionId=007
超级综艺,http://111.29.9.38:6610/200000001898/460000089800010062/1.m3u8?IASHttpSessionId=007
金牌综艺,http://111.29.9.38:6610/200000001898/460000089800010086/1.m3u8?IASHttpSessionId=007
炫舞未来,http://111.29.9.38:6610/200000001898/460000089800010039/1.m3u8?IASHttpSessionId=007
精品纪录,http://111.29.9.38:6610/200000001898/460000089800010076/1.m3u8?IASHttpSessionId=007
精品萌宠,http://111.29.9.38:6610/200000001898/460000089800010146/1.m3u8?IASHttpSessionId=007
金鹰纪实,http://111.29.9.38:6610/200000001898/460000089800010106/1.m3u8?IASHttpSessionId=007
武博世界,http://111.29.9.38:6610/200000001898/460000089800010135/1.m3u8?IASHttpSessionId=007
超级体育,http://111.29.9.38:6610/200000001898/460000089800010063/1.m3u8?IASHttpSessionId=007
睛彩青少,http://111.29.9.38:6610/200000001898/460000089800010147/1.m3u8?IASHttpSessionId=007
睛彩广场舞,http://111.29.9.38:6610/200000001898/460000089800010233/1.m3u8?IASHttpSessionId=007
哒啵赛事,http://111.29.9.38:6610/200000001898/460000089800010120/1.m3u8?IASHttpSessionId=007
英雄联盟,http://111.29.9.38:6610/200000001898/460000089800010090/1.m3u8?IASHttpSessionId=007
两岸,http://111.29.9.38:6610/200000001898/460000089800010080/1.m3u8?IASHttpSessionId=007
未知,http://111.29.9.38:6610/200000001898/460000089800010085/1.m3u8?IASHttpSessionId=007
CETV1,http://111.29.9.38:6610/200000001898/460000089800010103/1.m3u8?IASHttpSessionId=007
CETV2,http://111.29.9.38:6610/200000001898/460000089800010104/1.m3u8?IASHttpSessionId=007
CETV4,http://111.29.9.38:6610/200000001898/460000089800010105/1.m3u8?IASHttpSessionId=007
CGTN,http://111.29.9.38:6610/200000001898/460000089800010095/1.m3u8?IASHttpSessionId=007



🎈新年快乐🎈,#genre#
拜新年,https://vd2.bdstatic.com/mda-pakefb1e2yqcsggz/720p/h264/1674296785821869312/mda-pakefb1e2yqcsggz.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1705372587-0-0-3c82cfaced0e8f8d625fd5c1ad77a7db&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=2187503779&vid=734852078564463363&klogid=2187503779&abtest=
奢香夫人,https://vd2.bdstatic.com/mda-qa5f392amppcxx4v/sc/cae_h264/1704541400093117540/mda-qa5f392amppcxx4v.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1705371982-0-0-d8374be2501a54605e8c11113ccd0116&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=1582321068&vid=11134729558603719533&klogid=1582321068&abtest=
可能,https://vd3.bdstatic.com/mda-pkcygp37z3g95ty4/sc/cae_h264/1699960089304696718/mda-pkcygp37z3g95ty4.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1706241906-0-0-3200fdfb39af59fb9a6c5a732ad8fa45&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0305951265&vid=17672401584296727751&klogid=0305951265&abtest=116096_1
人间烟火,https://vd3.bdstatic.com/mda-pfu2gni47jk89a23/720p/h264/1688003256269574652/mda-pfu2gni47jk89a23.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1706241377-0-0-bff6e49a6d5a07957d6f0171a8c50be0&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3377846274&vid=4413626347028887311&klogid=3377846274&abtest=116096_1
安徽卫视,http://39.134.66.110/PLTV/88888888/224/3221225925/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
重温经典,http://tvbox6.com/tv/dl/dl668/bfgd.php?id=635
重温经典,http://mtw.so/5NPX0U
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959.flv
安徽经济生活,http://114.100.30.194:65000/rtp/238.1.79.44:4464
安徽影视频道,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv


🎈4K超高清🎈,#genre#
欢笑剧场4K,http://111.29.9.34:6610/000000001000/1/1.m3u8?stbId=1&livemode=1&IASHttpSessionId=OTT760920241110011719006907&channel-id=bestzb&Contentid=5000000007000010001
4KUHD,http://111.29.9.38:6610/200000001898/460000089800010006/1.m3u8?IASHttpSessionId=007
🎈新年数字🎈,#genre#
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,http://171.88.145.30:4022/udp/239.93.42.5:5140
CHC家庭影院,http://171.88.145.30:4022/udp/239.93.42.6:5140
CHC动作电影,http://171.88.145.30:4022/udp/239.93.42.7:5140
CHC家庭影院,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1587902162_1768667353/wd_r3/cnr/chcjtyy/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073737&ContentId=265667645&timezone=UTC&mtv_session=1e2626f9fa52e9ed0b3e629dab7d7ad3&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=950d3a482d21f43d77d58540bfd2cbad
CHC家庭影院,http://113.195.172.192:808/hls/113/index.m3u8
CHC动作电影,http://113.195.172.192:808/hls/114/index.m3u8
CHC影迷电影,http://113.195.172.192:808/hls/112/index.m3u8
CHC动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
CHC影迷电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy$国内
1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy2$国外
欢笑剧场,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000007000010001$4K
都市剧场,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031111
4K影视,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000014
精彩影视,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000063
精品剧场,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000002
欧美影院,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000005
精品影院,http://zby.xjqxz.top/zh13/live.m3u8
爱喜剧,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000032
爱科幻,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000033
爱院线,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000034
爱浪漫,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000035
爱悬疑,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000036
爱谍战,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000038
爱历史,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000046
爱科学,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000047
爱奇谈,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000058
爱动漫,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000059
爱动画,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000003
爱探索,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000007
东北热剧,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000005000266013
中国功夫,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=5897056882324761054
军事评论,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=5822616274253344775
军旅剧场,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=7485075951068666323
动作电影,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=8103864434730665389
古装剧场,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=6859053933687922163
家庭剧场,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=6316377948248689070
惊悚悬疑,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=7151256057701199617
明星大片,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000019008
潮妈辣婆,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=6516734029835465177
热播精选,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=7681593242002292003
爱情喜剧,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=8393829412396288037
精品大剧,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=7882297361445410858
精品纪录,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=6298506997017621594
精品综合,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=5595720619887440144
精品萌宠,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000006000032328
超级电影,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000012884
超级电视剧,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000008139
🎈移动央卫🎈,#genre#

//PLTV ottrrs.hl.chinamobile.com/PLTV
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
